region_x,hruid,pop_density,infection_rate
AB,4831,4.786179490382072e-06,0.1328574666483641
AB,4832,4.4709760358309804e-05,0.14437631536344503
AB,4833,5.061962982037773e-06,0.13704639522070694
AB,4834,0.0001226332713047162,0.13660250391339712
AB,4835,1.0150398577649422e-06,0.1493419614358795
BC,591,3.9456232269261875e-06,0.08706605514385224
BC,592,0.0001279038431088586,0.08732307926078718
BC,593,2.4596233571154777e-05,0.06605065429584871
BC,594,1.6754137499050725e-05,0.0482088248390792
BC,595,4.97718908693433e-07,0.10702582947505274
MB,4601,0.0012611677641360221,0.10708455843812244
MB,4602,2.3161431764874104e-06,0.09624585518088048
MB,4603,1.3783433734878676e-06,0.09745002054690823
MB,4604,1.711074811466835e-07,0.2659054048708448
MB,4605,7.45186686951995e-06,0.09852513568660388
NB,1301,2.4135168980746955e-05,0.11720500988793672
NB,1302,1.7662846620045677e-05,0.1120273819072839
NB,1303,7.934312049603192e-06,0.09378680107400254
NB,1304,6.09655267562958e-06,0.15176698070514666
NB,1305,4.5219288367551695e-06,0.14698487448617154
NB,1306,1.5828525014812876e-05,0.11435630117318364
NB,1307,4.374115480817775e-06,0.12016342756183745
NL,1011,1.577217904885472e-05,0.06109821879482834
NL,1012,1.960096685496436e-06,0.04450319697338437
NL,1013,2.2574120783906916e-06,0.04265668605409353
NL,1014,1.214671501783156e-07,0.06506517587800625
NS,1201,1.0909347245531605e-05,0.03358221710021926
NS,1202,1.2243645017116473e-05,0.035972971020678875
NS,1203,1.0174011672887886e-05,0.04423012349363877
NS,1204,6.88264222711567e-05,0.05510665643774472
NT,6101,3.389138182928201e-08,0.25240653437123123
NU,6201,1.9685394572224245e-08,0.087129250357795
ON,3526,2.3069512873598006e-06,0.1072680690399137
ON,3527,0.00011999882754919832,0.09503569050389889
ON,3530,0.0002794354392382443,0.10142975938195767
ON,3533,1.439538094293567e-05,0.06809496172840858
ON,3534,3.07950702465788e-05,0.0951499295632924
ON,3535,1.9032549267986878e-05,0.07021051933543836
ON,3536,0.000630839983445687,0.0946836226111857
ON,3537,0.000514002431272503,0.12838310916065057
ON,3538,1.9854866718976875e-05,0.0876608365190523
ON,3539,2.5309107133985695e-05,0.06970687501660953
ON,3540,3.344177963992396e-05,0.10780474832414785
ON,3541,2.749021364107509e-05,0.12007000730022649
ON,3542,3.427791564214206e-05,0.11318310739888782
ON,3543,2.794920747534171e-05,0.08201846514581604
ON,3544,0.000151391432857646,0.0951172422090752
ON,3546,0.00019399208114232204,0.10847701583884176
ON,3547,5.710145197899758e-06,0.07345624381791002
ON,3549,4.017021220621711e-07,0.19107077597758557
ON,3551,0.00037646161562075915,0.08774494620606269
ON,3553,0.0012876805268825578,0.13302470930505197
ON,3555,3.785425910091393e-05,0.07838555285613097
ON,3556,3.0394024593444796e-07,0.11238908971409793
ON,3557,6.71656952090394e-06,0.0754573653225296
ON,3558,4.071950668451409e-05,0.09565460338060411
ON,3560,5.131122152989266e-05,0.09410421721985453
ON,3561,3.552197687927548e-06,0.11113933149634599
ON,3562,5.658010959500118e-07,0.12688110097615618
ON,3563,2.22296263418822e-06,0.09633200708622543
ON,3565,0.0004590326187538818,0.09186246110932303
ON,3566,7.523084621797344e-05,0.0881750317908921
ON,3568,0.0001328573709461405,0.12656256808107122
ON,3570,0.0005668666693949023,0.11047639735930043
ON,3575,4.682545902699191e-05,0.08342599970230016
ON,3595,0.0048361459376651305,0.12852887332858062
PE,1100,3.330169289692882e-05,0.3372586239220097
QC,2401,8.983767099151735e-06,0.15960041295316374
QC,2402,2.688388279592321e-06,0.1530549357135267
QC,2403,3.964956724542899e-05,0.15681736004281951
QC,2404,1.1443856572889352e-05,0.1497993320942769
QC,2405,3.9767262476282226e-05,0.13246384302539102
QC,2406,0.0037521710401350232,0.18246507213643018
QC,2407,1.1933752814547243e-05,0.11467581465062998
QC,2408,2.273723461802897e-06,0.10651007118180655
QC,2409,3.328936211119241e-07,0.15787843592721643
QC,2410,3.911514638929643e-08,0.1539383048817011
QC,2411,4.616985565015981e-06,0.1571593995865935
QC,2412,2.9144307701200258e-05,0.18087832603721918
QC,2413,0.0018831558346935787,0.19264417348300916
QC,2414,4.076170060185032e-05,0.16243190357638282
QC,2415,2.909593175517515e-05,0.15940064651074348
QC,2416,0.00015910605063211247,0.13579356403104575
QC,2417,2.9084113172171226e-08,0.2531723291035612
QC,2418,3.836166372443021e-06,0.16818326103057876
SK,4711,2.3487722746617808e-07,0.17770771140106664
SK,4712,4.429884816594875e-08,0.23367308418271046
SK,4713,1.8204751552185745e-07,0.21695740030516722
SK,4721,2.543504440213553e-06,0.1528415021969752
SK,4722,3.286534360738505e-06,0.13549684799586476
SK,4723,8.733379227648e-07,0.10382579403272377
SK,4731,9.703250988000781e-07,0.07605107948704075
SK,4732,1.9476419948553625e-06,0.09517322706571242
SK,4741,3.052258092428229e-05,0.10747221285632316
SK,4751,3.334444908579455e-05,0.10783571305757067
SK,4761,1.0413091593497602e-06,0.10093095422808379
SK,4762,1.8026821954923775e-06,0.09907540647380869
SK,4763,1.9322866463704737e-06,0.10702846775819204
YT,6001,9.121379968559033e-08,0.1276119573408847
